name;id;name_1;question_id;ordering;answer_key
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;22153CCD-2706-427D-845C-669367F73C48;85;D
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;818D0856-FCE4-4289-A4CA-34334FAE78AF;86;D
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;806B8A57-AD20-4CB7-9ABE-3DA0D370A4D6;87;E
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;B3CE34A5-4B4F-4789-B6AF-5E3F9091B65D;88;D
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;1AE9E1FD-8457-4FC6-AA76-29EFE8E10F51;89;D
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;9AEA3448-AB1A-4DC9-9914-39A714E70093;90;A
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;365FB7FD-7D9D-4F58-8205-E642E742546F;91;B
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;BF5F9EDD-0AFB-481B-A9B8-CA972356BA7D;92;C
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;777C160E-7D45-488F-A283-3AB041D4906F;93;C
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;012DD042-F242-4802-8498-1F0F3F42E4F1;94;E
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;8249AB9A-5AB2-4367-BFEB-6960BC946FF9;95;B
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;B9601158-0135-4781-9A30-6D0978F70307;96;E
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;8B3E6A8F-AC0D-4F2E-91E1-29776DE33136;97;C
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;5F50690E-C7FD-40DB-93AB-A681D2E38CB7;98;D
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;5F6BE913-3F53-4D0E-B1F7-BD1EA7EF95DE;99;E
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;372891DF-3590-4DF5-9482-3B0BF844F98E;100;C
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;2A90A388-0AB5-4104-9870-E64D53CE4C22;101;B
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;94320654-F839-4C18-AC9F-C1C9AC8C91DE;102;A
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;FEAF9ACF-16BF-4B4F-B47F-C0AB04491069;103;D
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;58B1424C-3ED3-402D-8D0E-026F1D88A66B;104;B
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;90AC94A8-3C95-4FA5-8535-7FD34CB4600B;105;C
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;0D9DDBE9-BED1-4127-A991-A0A37BF7DD1E;106;A
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;5BF9F4B9-3A25-4F42-8F8A-77E192D969AD;107;C
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;CE33B764-6BC3-4859-A478-EF039FC1997C;108;E
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;EF7B54C4-F784-4DFF-B59C-BBC577C92E32;109;E
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;BF3885F2-2DC4-4197-9F99-D29D18681847;110;E
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;39AF8267-47EE-4590-9A2C-77E3AC0501C6;111;C
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;6B2FB29D-0A31-41F8-A620-40A996F89147;112;E
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;796C53B4-E452-44CB-892E-820B41D1139E;113;D
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;FB0B1BFB-E559-468B-A20E-13999593844F;114;B
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;A5C36388-01B1-4809-9363-C6BB3910D698;115;B
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;BB17146D-C0DD-45D8-8654-FA8EE8941CE4;116;D
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;111D64AC-D54B-41A9-95F6-1C3263E81DF6;117;E
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;EDDB6113-E8D3-4295-9F36-4381B4F0F82F;118;B
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;5DBCDD8B-C27E-41A9-88EB-E7DAE487601B;119;D
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;03830FDE-1F9B-4DEF-BDE3-0C1A1911E9C2;120;C
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;F9583200-94EE-4835-ABEC-6ED8D44E8188;121;B
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;6CC3C247-7AFB-47F5-9A27-DDAAA695938B;122;C
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;6C0DB04C-AE9C-4282-B96C-2D368E43A305;123;A
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;AA8433FA-E5DF-40AC-A7E4-EFAF713074E7;124;C
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;9CB1BFB6-221D-4223-B130-C6FE110B8143;125;E
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;035BF944-79A3-42D8-AC09-C0C0F25E91DC;126;C
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;A4ACFC40-943D-401F-BE49-609E63394930;127;A
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;086C3881-38BD-4FE2-8F30-263072A4A4AC;128;A
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;7DD760E8-EB0E-4433-AE3B-5327F61E4FBC;129;D
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;30B5DE21-6392-458A-AC51-6C88806A5912;130;D
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;3686A1A5-5FA3-4024-AEA6-2FCEB201611B;131;D
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;A0884C56-3015-4956-9234-57797D5DD31E;132;A
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;FBCCE64B-D725-49A5-B8CB-7ECB83D26C12;133;C
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;7FEF1E84-1808-4D43-85C7-BDB74CC5FFD3;134;D
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;23755F4F-91BF-44ED-A3D3-96B0912803E2;135;E
5º Simulado SAS Enem 2021 - 3ª série;122953;Dia 2;BDDC5404-02C6-4C22-AA9E-474FB3036F80;136;E
